tx_id,amount,supplier_id,category,timestamp,description,expected_score
TX_00081,102.82,SUP_016,OFFICE,2026-02-16T09:56:00+00:00,Dépense office NovaPay,NORMAL
TX_00069,69.7,SUP_045,CATERING,2026-03-02T12:27:00+00:00,Dépense catering NovaPay,NORMAL
TX_00042,851.1,SUP_024,TRAINING,2026-03-18T02:07:00+00:00,Transaction hors horaires habituels,SUSPECT
TX_00150,737.77,SUP_008,EQUIPMENT,2026-03-30T17:51:00+00:00,Dépense equipment NovaPay,NORMAL
TX_00194,2274.87,SUP_031,IT,2026-02-25T15:05:00+00:00,Dépense it NovaPay,NORMAL
TX_00064,676.84,SUP_030,TRAINING,2026-02-24T10:17:00+00:00,Dépense training NovaPay,NORMAL
TX_00169,987.59,SUP_013,EQUIPMENT,2026-02-06T09:53:00+00:00,Dépense equipment NovaPay,NORMAL
TX_00143,1472.16,SUP_013,EQUIPMENT,2026-01-06T08:15:00+00:00,Dépense equipment NovaPay,NORMAL
TX_00121,1472.92,SUP_036,EQUIPMENT,2026-03-09T15:03:00+00:00,Dépense equipment NovaPay,NORMAL
TX_00215,1432.15,SUP_038,IT,2026-01-05T10:32:00+00:00,Dépense it NovaPay,NORMAL
TX_00240,721.51,SUP_031,TRAINING,2026-02-04T10:16:00+00:00,Dépense training NovaPay,NORMAL
TX_00127,1061.32,SUP_018,IT,2026-01-12T12:15:00+00:00,Dépense it NovaPay,NORMAL
TX_00125,140.49,SUP_049,CATERING,2026-03-02T15:16:00+00:00,Dépense catering NovaPay,NORMAL
TX_00027,747.64,SUP_044,OFFICE,2026-03-23T16:14:00+00:00,Dépense exceptionnelle office,ALERTE
TX_00025,572.14,SUP_041,OFFICE,2026-02-04T09:38:00+00:00,Dépense exceptionnelle office,NORMAL
TX_00073,1072.29,SUP_033,TRAINING,2026-03-09T10:03:00+00:00,Dépense training NovaPay,NORMAL
TX_00180,609.07,SUP_014,TRAVEL,2026-01-13T11:40:00+00:00,Dépense travel NovaPay,NORMAL
TX_00209,247.32,SUP_038,OFFICE,2026-02-06T12:53:00+00:00,Dépense office NovaPay,NORMAL
TX_00002,1222.66,SUP_048,CONSULTING,2026-02-05T12:10:00+00:00,Facture SUP_048 consulting,NORMAL
TX_00146,813.16,SUP_046,EQUIPMENT,2026-03-19T17:47:00+00:00,Dépense equipment NovaPay,NORMAL
TX_00138,277.89,SUP_030,TRAVEL,2026-02-24T10:55:00+00:00,Dépense travel NovaPay,NORMAL
TX_00119,2075.14,SUP_042,CONSULTING,2026-02-23T11:09:00+00:00,Dépense consulting NovaPay,NORMAL
TX_00174,384.06,SUP_005,TRAVEL,2026-03-03T09:52:00+00:00,Dépense travel NovaPay,NORMAL
TX_00131,870.56,SUP_049,EQUIPMENT,2026-03-16T08:54:00+00:00,Dépense equipment NovaPay,NORMAL
TX_00178,1903.17,SUP_029,IT,2026-02-18T15:58:00+00:00,Dépense it NovaPay,NORMAL
TX_00137,748.66,SUP_043,TRAINING,2026-02-20T17:36:00+00:00,Dépense training NovaPay,NORMAL
TX_00010,1459.22,SUP_045,IT,2026-03-11T15:10:00+00:00,Facture SUP_045 it,NORMAL
TX_00205,572.45,SUP_018,EQUIPMENT,2026-02-09T16:45:00+00:00,Dépense equipment NovaPay,NORMAL
TX_00190,785.34,SUP_002,TRAVEL,2026-02-11T17:16:00+00:00,Dépense travel NovaPay,NORMAL
TX_00023,3147.27,SUP_007,EQUIPMENT,2026-01-12T11:55:00+00:00,Dépense exceptionnelle equipment,ALERTE
TX_00022,2273.06,SUP_015,TRAINING,2026-01-09T08:42:00+00:00,Dépense exceptionnelle training,NORMAL
TX_00100,639.76,SUP_018,IT,2026-01-26T14:21:00+00:00,Dépense it NovaPay,NORMAL
TX_00220,3012.41,SUP_040,CONSULTING,2026-03-04T16:02:00+00:00,Dépense consulting NovaPay,NORMAL
TX_00163,90.2,SUP_015,CATERING,2026-01-05T09:18:00+00:00,Dépense catering NovaPay,NORMAL
TX_00200,603.89,SUP_004,TRAINING,2026-03-05T15:48:00+00:00,Dépense training NovaPay,NORMAL
TX_00104,78.72,SUP_033,CATERING,2026-02-10T14:38:00+00:00,Dépense catering NovaPay,NORMAL
TX_00066,256.87,SUP_049,TRAVEL,2026-03-11T08:05:00+00:00,Dépense travel NovaPay,NORMAL
TX_00035,944.38,SUP_UNKNOWN_490,EQUIPMENT,2026-03-18T09:24:00+00:00,Paiement fournisseur inconnu SUP_UNKNOWN_490,SUSPECT
TX_00179,255.63,SUP_040,OFFICE,2026-02-24T12:36:00+00:00,Dépense office NovaPay,NORMAL
TX_00087,695.66,SUP_004,EQUIPMENT,2026-03-04T12:57:00+00:00,Dépense equipment NovaPay,NORMAL
TX_00079,171.02,SUP_040,OFFICE,2026-01-12T08:29:00+00:00,Dépense office NovaPay,NORMAL
TX_00036,897.67,SUP_UNKNOWN_981,TRAINING,2026-03-09T12:35:00+00:00,Paiement fournisseur inconnu SUP_UNKNOWN_981,SUSPECT
TX_00015,669.28,SUP_006,EQUIPMENT,2026-02-18T09:10:00+00:00,Facture SUP_006 equipment,NORMAL
TX_00099,1428.67,SUP_015,EQUIPMENT,2026-02-16T12:52:00+00:00,Dépense equipment NovaPay,NORMAL
TX_00173,538.85,SUP_012,TRAINING,2026-03-03T15:21:00+00:00,Dépense training NovaPay,NORMAL
TX_00080,1136.72,SUP_033,TRAINING,2026-01-12T16:13:00+00:00,Dépense training NovaPay,NORMAL
TX_00183,72.62,SUP_019,CATERING,2026-01-30T12:45:00+00:00,Dépense catering NovaPay,NORMAL
TX_00062,136.75,SUP_026,CATERING,2026-01-07T09:03:00+00:00,Dépense catering NovaPay,NORMAL
TX_00148,810.2,SUP_046,TRAVEL,2026-03-16T14:25:00+00:00,Dépense travel NovaPay,NORMAL
TX_00147,715.01,SUP_038,TRAVEL,2026-01-21T12:06:00+00:00,Dépense travel NovaPay,NORMAL
TX_00185,1286.2,SUP_008,EQUIPMENT,2026-03-17T11:27:00+00:00,Dépense equipment NovaPay,NORMAL
TX_00074,761.35,SUP_044,TRAVEL,2026-01-09T17:04:00+00:00,Dépense travel NovaPay,NORMAL
TX_00171,406.33,SUP_019,TRAINING,2026-01-06T08:35:00+00:00,Dépense training NovaPay,NORMAL
TX_00109,3520.13,SUP_027,CONSULTING,2026-03-06T12:42:00+00:00,Dépense consulting NovaPay,NORMAL
TX_00248,211.34,SUP_003,OFFICE,2026-01-15T10:02:00+00:00,Dépense office NovaPay,NORMAL
TX_00077,739.14,SUP_046,TRAINING,2026-02-03T11:42:00+00:00,Dépense training NovaPay,NORMAL
TX_00037,531.13,SUP_UNKNOWN_373,TRAVEL,2026-01-15T16:48:00+00:00,Paiement fournisseur inconnu SUP_UNKNOWN_373,SUSPECT
TX_00181,213.69,SUP_036,OFFICE,2026-01-21T11:11:00+00:00,Dépense office NovaPay,NORMAL
TX_00217,680.14,SUP_031,TRAVEL,2026-02-23T10:04:00+00:00,Dépense travel NovaPay,NORMAL
TX_00091,3531.0,SUP_024,CONSULTING,2026-03-11T08:53:00+00:00,Dépense consulting NovaPay,NORMAL
TX_00046,983.94,SUP_042,EQUIPMENT,2026-02-01T14:42:00+00:00,Transaction hors horaires habituels,SUSPECT
TX_00124,108.62,SUP_036,CATERING,2026-03-06T14:53:00+00:00,Dépense catering NovaPay,NORMAL
TX_00228,1026.31,SUP_035,CONSULTING,2026-03-02T12:43:00+00:00,Dépense consulting NovaPay,NORMAL
TX_00113,128.0,SUP_029,CATERING,2026-03-19T13:29:00+00:00,Dépense catering NovaPay,NORMAL
TX_00043,1045.42,SUP_047,EQUIPMENT,2026-02-02T02:05:00+00:00,Transaction hors horaires habituels,SUSPECT
TX_00250,1252.92,SUP_038,IT,2026-02-17T16:26:00+00:00,Dépense it NovaPay,NORMAL
TX_00097,1223.26,SUP_045,EQUIPMENT,2026-02-02T12:10:00+00:00,Dépense equipment NovaPay,NORMAL
TX_00245,1115.18,SUP_015,EQUIPMENT,2026-02-17T09:43:00+00:00,Dépense equipment NovaPay,NORMAL
TX_00161,308.53,SUP_047,TRAINING,2026-01-26T09:15:00+00:00,Dépense training NovaPay,NORMAL
TX_00239,59.67,SUP_024,CATERING,2026-01-19T16:56:00+00:00,Dépense catering NovaPay,NORMAL
TX_00226,1031.51,SUP_038,TRAINING,2026-03-23T11:31:00+00:00,Dépense training NovaPay,NORMAL
TX_00128,142.14,SUP_010,OFFICE,2026-03-11T09:08:00+00:00,Dépense office NovaPay,NORMAL
TX_00247,1688.06,SUP_045,IT,2026-03-23T15:58:00+00:00,Dépense it NovaPay,NORMAL
TX_00096,42.78,SUP_043,CATERING,2026-02-12T14:51:00+00:00,Dépense catering NovaPay,NORMAL
TX_00155,978.89,SUP_028,TRAINING,2026-03-10T15:29:00+00:00,Dépense training NovaPay,NORMAL
TX_00241,730.56,SUP_005,EQUIPMENT,2026-02-13T09:29:00+00:00,Dépense equipment NovaPay,NORMAL
TX_00212,257.62,SUP_025,OFFICE,2026-03-31T11:36:00+00:00,Dépense office NovaPay,NORMAL
TX_00011,1139.05,SUP_018,IT,2026-01-01T10:10:00+00:00,Facture SUP_018 it,NORMAL
TX_00156,1218.75,SUP_016,EQUIPMENT,2026-02-04T13:54:00+00:00,Dépense equipment NovaPay,NORMAL
TX_00238,228.8,SUP_048,OFFICE,2026-01-12T12:20:00+00:00,Dépense office NovaPay,NORMAL
TX_00237,2809.75,SUP_038,CONSULTING,2026-02-09T15:02:00+00:00,Dépense consulting NovaPay,NORMAL
TX_00088,624.6,SUP_022,TRAVEL,2026-02-05T08:00:00+00:00,Dépense travel NovaPay,NORMAL
TX_00020,1918.85,SUP_008,CONSULTING,2026-02-18T10:10:00+00:00,Facture SUP_008 consulting,NORMAL
TX_00048,78.16,SUP_005,OFFICE,2026-03-12T02:00:00+00:00,Transaction hors horaires habituels,SUSPECT
TX_00186,488.84,SUP_010,TRAINING,2026-01-20T12:52:00+00:00,Dépense training NovaPay,NORMAL
TX_00206,133.49,SUP_036,CATERING,2026-03-02T11:29:00+00:00,Dépense catering NovaPay,NORMAL
TX_00159,135.31,SUP_023,CATERING,2026-01-26T15:13:00+00:00,Dépense catering NovaPay,NORMAL
TX_00213,2038.1,SUP_048,IT,2026-02-23T08:20:00+00:00,Dépense it NovaPay,NORMAL
TX_00041,665.38,SUP_050,TRAINING,2026-01-20T02:34:00+00:00,Transaction hors horaires habituels,SUSPECT
TX_00208,478.19,SUP_033,EQUIPMENT,2026-02-23T13:59:00+00:00,Dépense equipment NovaPay,NORMAL
TX_00094,1720.45,SUP_027,IT,2026-02-16T16:56:00+00:00,Dépense it NovaPay,NORMAL
TX_00197,1251.76,SUP_021,EQUIPMENT,2026-01-05T15:05:00+00:00,Dépense equipment NovaPay,NORMAL
TX_00052,90.76,SUP_037,CONSULTING,2026-02-02T13:00:00+00:00,Règlement partiel SUP_037 tranche 2/5,ALERTE
TX_00059,93.07,SUP_031,EQUIPMENT,2026-01-26T21:00:00+00:00,Règlement partiel SUP_031 tranche 4/5,NORMAL
TX_00106,2220.96,SUP_047,CONSULTING,2026-03-09T16:43:00+00:00,Dépense consulting NovaPay,NORMAL
TX_00044,105.28,SUP_031,CATERING,2026-03-15T10:42:00+00:00,Transaction hors horaires habituels,SUSPECT
TX_00201,1048.65,SUP_045,IT,2026-01-19T12:28:00+00:00,Dépense it NovaPay,NORMAL
TX_00133,135.59,SUP_048,CATERING,2026-02-23T16:47:00+00:00,Dépense catering NovaPay,NORMAL
TX_00203,1443.46,SUP_027,CONSULTING,2026-03-12T08:35:00+00:00,Dépense consulting NovaPay,NORMAL
TX_00058,93.07,SUP_031,EQUIPMENT,2026-01-26T17:00:00+00:00,Règlement partiel SUP_031 tranche 3/5,ALERTE
TX_00162,94.72,SUP_046,CATERING,2026-02-02T15:41:00+00:00,Dépense catering NovaPay,NORMAL
TX_00195,160.75,SUP_011,OFFICE,2026-02-11T09:54:00+00:00,Dépense office NovaPay,NORMAL
TX_00167,1539.24,SUP_045,CONSULTING,2026-01-16T16:48:00+00:00,Dépense consulting NovaPay,NORMAL
TX_00229,724.09,SUP_041,IT,2026-02-16T17:19:00+00:00,Dépense it NovaPay,NORMAL
TX_00111,114.47,SUP_037,CATERING,2026-02-18T10:39:00+00:00,Dépense catering NovaPay,NORMAL
TX_00130,77.06,SUP_014,CATERING,2026-03-02T14:03:00+00:00,Dépense catering NovaPay,NORMAL
TX_00216,257.64,SUP_030,OFFICE,2026-02-26T09:33:00+00:00,Dépense office NovaPay,NORMAL
TX_00076,333.38,SUP_038,TRAINING,2026-01-12T14:42:00+00:00,Dépense training NovaPay,NORMAL
TX_00098,466.0,SUP_013,TRAVEL,2026-01-05T15:14:00+00:00,Dépense travel NovaPay,NORMAL
TX_00084,1021.15,SUP_009,EQUIPMENT,2026-03-26T09:56:00+00:00,Dépense equipment NovaPay,NORMAL
TX_00189,180.1,SUP_039,OFFICE,2026-03-05T15:05:00+00:00,Dépense office NovaPay,NORMAL
TX_00182,323.62,SUP_039,TRAVEL,2026-02-23T15:44:00+00:00,Dépense travel NovaPay,NORMAL
TX_00225,103.38,SUP_006,CATERING,2026-01-26T10:11:00+00:00,Dépense catering NovaPay,NORMAL
TX_00188,167.22,SUP_026,OFFICE,2026-03-02T12:44:00+00:00,Dépense office NovaPay,NORMAL
TX_00175,95.08,SUP_010,CATERING,2026-03-16T08:09:00+00:00,Dépense catering NovaPay,NORMAL
TX_00021,2363.86,SUP_024,TRAINING,2026-03-23T17:56:00+00:00,Dépense exceptionnelle training,NORMAL
TX_00019,1918.85,SUP_008,CONSULTING,2026-02-18T09:10:00+00:00,Facture SUP_008 consulting,ALERTE
TX_00233,70.74,SUP_039,CATERING,2026-03-16T08:58:00+00:00,Dépense catering NovaPay,NORMAL
TX_00242,1866.97,SUP_036,IT,2026-01-29T14:54:00+00:00,Dépense it NovaPay,NORMAL
TX_00160,689.35,SUP_018,EQUIPMENT,2026-02-05T17:44:00+00:00,Dépense equipment NovaPay,NORMAL
TX_00110,159.5,SUP_013,OFFICE,2026-02-09T16:08:00+00:00,Dépense office NovaPay,NORMAL
TX_00103,112.5,SUP_039,OFFICE,2026-02-03T08:06:00+00:00,Dépense office NovaPay,SUSPECT
TX_00123,2487.17,SUP_049,CONSULTING,2026-03-13T17:20:00+00:00,Dépense consulting NovaPay,NORMAL
TX_00223,1838.51,SUP_004,CONSULTING,2026-01-05T08:20:00+00:00,Dépense consulting NovaPay,NORMAL
TX_00008,879.19,SUP_039,IT,2026-01-05T17:10:00+00:00,Facture SUP_039 it,NORMAL
TX_00118,511.91,SUP_046,TRAVEL,2026-03-23T17:12:00+00:00,Dépense travel NovaPay,NORMAL
TX_00078,125.12,SUP_042,OFFICE,2026-02-20T10:42:00+00:00,Dépense office NovaPay,NORMAL
TX_00134,971.89,SUP_018,TRAINING,2026-01-29T15:14:00+00:00,Dépense training NovaPay,NORMAL
TX_00012,1139.05,SUP_018,IT,2026-01-01T11:10:00+00:00,Facture SUP_018 it,ALERTE
TX_00057,93.07,SUP_031,EQUIPMENT,2026-01-26T13:00:00+00:00,Règlement partiel SUP_031 tranche 2/5,ALERTE
TX_00129,1243.5,SUP_027,IT,2026-01-20T11:04:00+00:00,Dépense it NovaPay,NORMAL
TX_00116,581.56,SUP_013,TRAINING,2026-02-02T12:14:00+00:00,Dépense training NovaPay,NORMAL
TX_00028,714.64,SUP_003,OFFICE,2026-01-08T11:52:00+00:00,Dépense exceptionnelle office,ALERTE
TX_00152,2037.6,SUP_027,CONSULTING,2026-03-06T13:00:00+00:00,Dépense consulting NovaPay,NORMAL
TX_00132,619.52,SUP_049,TRAINING,2026-01-01T13:19:00+00:00,Dépense training NovaPay,NORMAL
TX_00230,117.32,SUP_025,CATERING,2026-03-02T12:12:00+00:00,Dépense catering NovaPay,NORMAL
TX_00115,1706.87,SUP_041,IT,2026-02-06T16:42:00+00:00,Dépense it NovaPay,NORMAL
TX_00122,2141.35,SUP_030,IT,2026-01-16T15:08:00+00:00,Dépense it NovaPay,NORMAL
TX_00017,202.12,SUP_039,OFFICE,2026-02-03T08:10:00+00:00,Facture SUP_039 office,SUSPECT
TX_00030,7944.03,SUP_042,CONSULTING,2026-03-25T15:25:00+00:00,Dépense exceptionnelle consulting,ALERTE
TX_00135,94.39,SUP_044,CATERING,2026-02-19T13:42:00+00:00,Dépense catering NovaPay,NORMAL
TX_00108,3578.16,SUP_008,CONSULTING,2026-03-23T13:42:00+00:00,Dépense consulting NovaPay,NORMAL
TX_00204,366.56,SUP_042,TRAVEL,2026-01-15T15:07:00+00:00,Dépense travel NovaPay,NORMAL
TX_00014,1845.23,SUP_018,CONSULTING,2026-01-20T12:10:00+00:00,Facture SUP_018 consulting,NORMAL
TX_00068,849.17,SUP_001,EQUIPMENT,2026-01-08T10:24:00+00:00,Dépense equipment NovaPay,NORMAL
TX_00184,3406.9,SUP_017,CONSULTING,2026-01-12T11:59:00+00:00,Dépense consulting NovaPay,NORMAL
TX_00005,490.72,SUP_003,TRAVEL,2026-01-05T09:10:00+00:00,Facture SUP_003 travel,NORMAL
TX_00083,1126.44,SUP_043,TRAINING,2026-03-25T16:00:00+00:00,Dépense training NovaPay,NORMAL
TX_00199,3434.23,SUP_013,CONSULTING,2026-03-02T14:03:00+00:00,Dépense consulting NovaPay,NORMAL
TX_00232,548.53,SUP_043,TRAINING,2026-03-31T12:01:00+00:00,Dépense training NovaPay,NORMAL
TX_00224,150.28,SUP_034,OFFICE,2026-02-25T10:15:00+00:00,Dépense office NovaPay,NORMAL
TX_00004,767.45,SUP_007,IT,2026-03-30T17:10:00+00:00,Facture SUP_007 it,ALERTE
TX_00249,284.14,SUP_035,OFFICE,2026-01-15T09:15:00+00:00,Dépense office NovaPay,NORMAL
TX_00007,879.19,SUP_039,IT,2026-01-05T16:10:00+00:00,Facture SUP_039 it,ALERTE
TX_00243,93.96,SUP_035,OFFICE,2026-02-20T08:16:00+00:00,Dépense office NovaPay,NORMAL
TX_00029,3178.54,SUP_037,EQUIPMENT,2026-02-04T09:13:00+00:00,Dépense exceptionnelle equipment,ALERTE
TX_00045,399.08,SUP_035,TRAINING,2026-03-15T14:13:00+00:00,Transaction hors horaires habituels,SUSPECT
TX_00065,2069.14,SUP_036,IT,2026-01-12T15:51:00+00:00,Dépense it NovaPay,NORMAL
TX_00139,684.48,SUP_030,IT,2026-02-18T13:13:00+00:00,Dépense it NovaPay,NORMAL
TX_00034,437.69,SUP_UNKNOWN_263,EQUIPMENT,2026-01-15T10:40:00+00:00,Paiement fournisseur inconnu SUP_UNKNOWN_263,SUSPECT
TX_00192,1152.96,SUP_049,EQUIPMENT,2026-02-04T17:02:00+00:00,Dépense equipment NovaPay,NORMAL
TX_00221,372.91,SUP_048,TRAVEL,2026-03-30T12:14:00+00:00,Dépense travel NovaPay,NORMAL
TX_00001,1222.66,SUP_048,CONSULTING,2026-02-05T11:10:00+00:00,Facture SUP_048 consulting,ALERTE
TX_00210,1139.08,SUP_035,TRAINING,2026-03-04T10:28:00+00:00,Dépense training NovaPay,NORMAL
TX_00038,912.77,SUP_UNKNOWN_261,EQUIPMENT,2026-01-15T12:27:00+00:00,Paiement fournisseur inconnu SUP_UNKNOWN_261,SUSPECT
TX_00085,99.24,SUP_018,OFFICE,2026-01-14T16:09:00+00:00,Dépense office NovaPay,NORMAL
TX_00060,93.07,SUP_031,EQUIPMENT,2026-01-27T01:00:00+00:00,Règlement partiel SUP_031 tranche 5/5,NORMAL
TX_00235,1669.52,SUP_049,IT,2026-03-23T12:43:00+00:00,Dépense it NovaPay,NORMAL
TX_00151,1501.91,SUP_028,EQUIPMENT,2026-01-06T13:34:00+00:00,Dépense equipment NovaPay,NORMAL
TX_00054,90.76,SUP_037,CONSULTING,2026-02-02T21:00:00+00:00,Règlement partiel SUP_037 tranche 4/5,ALERTE
TX_00142,854.94,SUP_005,TRAVEL,2026-02-16T11:41:00+00:00,Dépense travel NovaPay,NORMAL
TX_00196,161.45,SUP_026,OFFICE,2026-03-05T12:42:00+00:00,Dépense office NovaPay,NORMAL
TX_00018,202.12,SUP_039,OFFICE,2026-02-03T09:10:00+00:00,Facture SUP_039 office,ALERTE
TX_00053,90.76,SUP_037,CONSULTING,2026-02-02T17:00:00+00:00,Règlement partiel SUP_037 tranche 3/5,ALERTE
TX_00145,1320.29,SUP_017,CONSULTING,2026-01-28T15:44:00+00:00,Dépense consulting NovaPay,NORMAL
TX_00207,1244.42,SUP_009,IT,2026-03-18T16:47:00+00:00,Dépense it NovaPay,NORMAL
TX_00033,68.96,SUP_UNKNOWN_193,CATERING,2026-01-19T16:31:00+00:00,Paiement fournisseur inconnu SUP_UNKNOWN_193,SUSPECT
TX_00063,1950.05,SUP_013,CONSULTING,2026-01-14T11:12:00+00:00,Dépense consulting NovaPay,NORMAL
TX_00086,202.01,SUP_041,OFFICE,2026-02-13T11:43:00+00:00,Dépense office NovaPay,NORMAL
TX_00202,53.6,SUP_016,CATERING,2026-03-23T17:51:00+00:00,Dépense catering NovaPay,NORMAL
TX_00013,1845.23,SUP_018,CONSULTING,2026-01-20T11:10:00+00:00,Facture SUP_018 consulting,ALERTE
TX_00006,490.72,SUP_003,TRAVEL,2026-01-05T10:10:00+00:00,Facture SUP_003 travel,ALERTE
TX_00153,949.03,SUP_030,EQUIPMENT,2026-02-25T13:40:00+00:00,Dépense equipment NovaPay,NORMAL
TX_00164,117.48,SUP_031,CATERING,2026-02-09T17:23:00+00:00,Dépense catering NovaPay,NORMAL
TX_00165,745.97,SUP_023,TRAINING,2026-02-24T16:21:00+00:00,Dépense training NovaPay,NORMAL
TX_00055,90.76,SUP_037,CONSULTING,2026-02-03T01:00:00+00:00,Règlement partiel SUP_037 tranche 5/5,NORMAL
TX_00170,122.77,SUP_046,OFFICE,2026-01-23T12:00:00+00:00,Dépense office NovaPay,NORMAL
TX_00024,313.36,SUP_024,CATERING,2026-03-23T13:10:00+00:00,Dépense exceptionnelle catering,ALERTE
TX_00117,641.03,SUP_050,IT,2026-02-02T15:39:00+00:00,Dépense it NovaPay,NORMAL
TX_00211,78.65,SUP_030,CATERING,2026-03-12T16:24:00+00:00,Dépense catering NovaPay,NORMAL
TX_00218,1485.51,SUP_026,EQUIPMENT,2026-02-13T17:44:00+00:00,Dépense equipment NovaPay,NORMAL
TX_00032,457.64,SUP_UNKNOWN_697,TRAINING,2026-03-16T14:57:00+00:00,Paiement fournisseur inconnu SUP_UNKNOWN_697,SUSPECT
TX_00049,2262.21,SUP_022,CONSULTING,2026-01-30T02:55:00+00:00,Transaction hors horaires habituels,SUSPECT
TX_00071,120.72,SUP_035,OFFICE,2026-01-08T17:47:00+00:00,Dépense office NovaPay,NORMAL
TX_00102,116.11,SUP_008,CATERING,2026-03-10T13:01:00+00:00,Dépense catering NovaPay,NORMAL
TX_00016,669.28,SUP_006,EQUIPMENT,2026-02-18T10:10:00+00:00,Facture SUP_006 equipment,ALERTE
TX_00092,764.12,SUP_020,TRAINING,2026-02-25T10:02:00+00:00,Dépense training NovaPay,NORMAL
TX_00166,2270.49,SUP_008,CONSULTING,2026-02-09T12:14:00+00:00,Dépense consulting NovaPay,NORMAL
TX_00140,145.88,SUP_027,OFFICE,2026-02-18T12:48:00+00:00,Dépense office NovaPay,NORMAL
TX_00236,3148.92,SUP_007,CONSULTING,2026-03-30T10:40:00+00:00,Dépense consulting NovaPay,NORMAL
TX_00176,1030.38,SUP_008,EQUIPMENT,2026-02-09T09:15:00+00:00,Dépense equipment NovaPay,NORMAL
TX_00244,511.52,SUP_025,TRAVEL,2026-03-30T12:37:00+00:00,Dépense travel NovaPay,NORMAL
TX_00093,263.79,SUP_044,OFFICE,2026-01-06T13:13:00+00:00,Dépense office NovaPay,NORMAL
TX_00219,1224.88,SUP_021,CONSULTING,2026-02-12T16:24:00+00:00,Dépense consulting NovaPay,NORMAL
TX_00061,286.07,SUP_027,TRAVEL,2026-02-25T13:27:00+00:00,Dépense travel NovaPay,NORMAL
TX_00234,2390.84,SUP_023,CONSULTING,2026-02-06T11:38:00+00:00,Dépense consulting NovaPay,NORMAL
TX_00114,115.67,SUP_048,CATERING,2026-03-09T15:50:00+00:00,Dépense catering NovaPay,NORMAL
TX_00056,93.07,SUP_031,EQUIPMENT,2026-01-26T09:00:00+00:00,Règlement partiel SUP_031 tranche 1/5,ALERTE
TX_00095,929.56,SUP_012,TRAINING,2026-02-02T10:51:00+00:00,Dépense training NovaPay,NORMAL
